Site ID	Location Name	County	Issue Codes	Priority
CO-BOULDER-ALICE-MINE	Alice Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ALICE-OPEN-PIT	Alice Open Pit	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ALLIED-JAMESTOWN	Allied Jamestown	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ALPINE-HORN	Alpine Horn	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ALTON-TUNNEL	Alton Tunnel	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ANNA-C-MINE	Anna C Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-ATCHISON-MINE	Atchison Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-BIG-CAMERON-MINE	Big Cameron Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-BIG-HORN-SHAFT	Big Horn Shaft	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-BLACK-PRINCE-MINE	Black Prince Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-BONANZA-NO-2	Bonanza No. 2 Mine	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-CASH-MILL	Cash Mill	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-BOULDER-CENTENNIAL-TUNNEL	Centennial Tunnel	Boulder	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
